Category: All categories

Week,Fårikål: (Norway),Pinnekjøtt: (Norway),Waffle: (Norway),beer: (Norway),cafe: (Norway)
2016-10-23,7,4,8,23,19
2016-10-30,3,5,9,25,20
2016-11-06,2,9,9,22,19
2016-11-13,2,13,10,25,18
2016-11-20,1,15,9,25,16
2016-11-27,1,34,8,29,19
2016-12-04,1,33,7,26,18
2016-12-11,1,44,7,26,17
2016-12-18,1,100,6,30,13
2016-12-25,0,63,6,32,17
2017-01-01,0,9,7,22,16
2017-01-08,0,4,10,26,14
2017-01-15,1,3,11,23,18
2017-01-22,1,3,13,24,16
2017-01-29,1,3,11,23,17
2017-02-05,0,2,13,23,16
2017-02-12,0,2,12,24,19
2017-02-19,0,2,13,25,19
2017-02-26,0,2,10,24,19
2017-03-05,0,1,12,23,19
2017-03-12,1,1,12,24,19
2017-03-19,1,2,20,22,18
2017-03-26,1,1,14,22,17
2017-04-02,0,2,9,23,17
2017-04-09,0,6,12,29,22
2017-04-16,1,1,11,23,19
2017-04-23,0,1,10,22,17
2017-04-30,0,1,11,27,17
2017-05-07,0,0,8,22,17
2017-05-14,0,0,9,28,18
2017-05-21,0,1,10,26,20
2017-05-28,0,1,9,23,17
2017-06-04,0,0,11,26,19
2017-06-11,0,0,8,24,18
2017-06-18,0,1,8,26,20
2017-06-25,0,0,8,27,18
2017-07-02,0,0,10,28,19
2017-07-09,0,0,11,28,23
2017-07-16,0,1,11,31,21
2017-07-23,0,1,10,31,21
2017-07-30,0,0,12,28,22
2017-08-06,1,1,12,26,20
2017-08-13,0,0,10,24,20
2017-08-20,1,1,11,25,19
2017-08-27,4,1,10,23,19
2017-09-03,10,1,11,23,18
2017-09-10,18,1,11,21,18
2017-09-17,26,1,11,22,17
2017-09-24,32,1,10,21,19
2017-10-01,25,2,12,23,19
2017-10-08,15,2,11,21,18
